Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Moutailler et al., 2008;Ae. caspius;;;;;;;7.3;5;68;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F0;F0/F1
Moutailler et al., 2008;Ae. detritus;;;;;;;12.5;1;8;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;France;F0;F0/F1
Moutailler et al., 2008;Ae. detritus;;;;;;;0;0;2;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;9.1;1;11;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;14;15;107;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;France;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;3.9;5;128;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.8;1;35;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;0;0;7;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;14.7;5;34;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;14.7;5;34;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.7;3;110;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;3.1;4;130;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;0;0;14;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;0;0;18;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;4.7;4;85;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;8.9;7;79;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;5.8;3;52;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F2;F2/F5
Moutailler et al., 2008;Cx. pipiens;;;;;;;5.9;4;68;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F2;F2/F5
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.4;1;41;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.1;1;48;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;30.2;35;116;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Cyprus;Colony;>F5
Moutailler et al., 2008;Cx. pipiens;;;;;;;14.3;14;98;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Cyprus;Colony;>F5
Moutailler et al., 2008;Ae. vexans;;;;;;;8.3;2;24;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Germany;Colony;>F5
Moutailler et al., 2008;Ae. vexans;;;;;;;25;5;20;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Germany;Colony;>F5
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;4;;;;infected;;;;;8;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;2;;;;infected;;;;;10;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;2;;;;infected;;;;;12;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;4;;;;infected;;;;;14;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;25;1;4;;;;infected;;;;;16;3w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;33.3;1;3;;;;infected;;;;;18;3w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;16.7;1;6;;;;infected;;;;;20;3w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;5;;;;infected;;;;;6;1w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;12.5;1;8;;;;infected;;;;;8;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;6;;;;infected;;;;;10;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;14.3;1;7;;;;infected;;;;;12;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;16.7;1;6;;;;infected;;;;;14;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;5;;;;infected;;;;;18;3w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;1;;;;infected;;;;;20;3w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;77.5;31;40;;;;;;;;;;;;;;1->21;1_to_3w;;;;;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;82.14;46;56;;;;;;;;;;;;;;1->21;1_to_3w;;;;;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Turell et al., 1996;Ae. caspius;100;8;8;37.5;3;8;37.5;3;8;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;5.3;5.3;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;31.4;16;51;0;0;16;0;0;51;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;5.3;5.3;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;100;5;5;80;4;5;80;4;5;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;6;6;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;57.9;22;38;9.1;2;22;5.2;2;38;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;6;6;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;100;15;15;33.3;5;15;33.3;5;15;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;75.6;262;346;13.7;36;262;10.4;36;346;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;;;;;;;;;;50;1;2;20;1;5;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;;;;;;;;;;77.8;7;9;6.9;7;102;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;;;;;;;;;;100;5;5;;;;inoculated;;;;;7->21;1_to_3w;26°C;>25°C;0,3µL * 10^5,5 PFU/ml;2,9 PFU;NA;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;;;;;;;;;;100;6;6;;;;inoculated;;;;;7->21;1_to_3w;26°C;>25°C;2 log10 PFU;2 PFU;NA;ZH501, Egypt93;Egypt;F0;F0/F1
Lumley et al., 2018;Cx. pipiens;0;0;10;NA;NA;NA;0;0;10;NA;NA;NA;0;0;10;disseminated;7;1w;7;1w;7;1w;25°C;20-25°C;6;6;medium;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;44.4;8;18;0;0;8;0;0;18;NA;NA;NA;0;0;18;disseminated;14;2w;14;2w;14;2w;25°C;20-25°C;6;6;medium;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;33.3;5;15;0;0;5;0;0;15;NA;NA;NA;0;0;15;disseminated;21;3w;21;3w;21;3w;25°C;20-25°C;6;6;medium;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;26.7;4;15;100;4;4;26.7;4;15;NA;NA;NA;7.1;1;14;disseminated;7;1w;7;1w;7;1w;25°C;20-25°C;7;7;high;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;35.3;6;17;NA;NA;NA;12.5;2;16;50;1;2;6.3;1;16;disseminated;14;2w;14;2w;14;2w;25°C;20-25°C;7;7;high;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;56.3;9;16;NA;NA;NA;38.5;5;13;NA;NA;NA;14.3;2;14;disseminated;21;3w;21;3w;21;3w;25°C;20-25°C;7;7;high;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;46.7;7;15;100;7;7;46.7;7;15;;;;16.7;2;12;;7;1w;7;1w;7;1w;25°C;20-25°C;7;7;high;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;26.7;4;15;NA;NA;NA;7.1;1;14;0;0;1;0;0;14;disseminated;14;2w;14;2w;14;2w;25°C;20-25°C;7;7;high;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;40;8;20;NA;NA;NA;29.4;5;17;40;2;5;11.8;2;17;disseminated;21;3w;21;3w;21;3w;25°C;20-25°C;7;7;high;ZH501;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;0;0;10;NA;NA;NA;0;0;10;NA;NA;NA;0;0;10;disseminated;7;1w;7;1w;7;1w;25°C;20-25°C;6;6;medium;Lunyo;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;0;0;15;NA;NA;NA;0;0;15;NA;NA;NA;0;0;15;disseminated;14;2w;14;2w;14;2w;25°C;20-25°C;6;6;medium;Lunyo;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;0;0;16;NA;NA;NA;0;0;16;NA;NA;NA;0;0;16;disseminated;21;3w;21;3w;21;3w;25°C;20-25°C;6;6;medium;Lunyo;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;31.3;5;16;80;4;5;25;4;16;NA;NA;NA;13.3;2;15;disseminated;7;1w;7;1w;7;1w;25°C;20-25°C;6;6;medium;Lunyo;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;33.3;5;15;NA;NA;NA;0;0;13;NA;NA;NA;0;0;15;disseminated;14;2w;14;2w;14;2w;25°C;20-25°C;6;6;medium;Lunyo;England;>F100;>F5
Lumley et al., 2018;Cx. pipiens;18.8;3;16;33.3;1;3;6.3;1;16;100;1;1;6.3;1;16;disseminated;21;3w;21;3w;21;3w;25°C;20-25°C;6;6;medium;Lunyo;England;>F100;>F5
Lumley et al., 2018;Ae. detritus;20;4;20;NA;NA;NA;27.8;5;18;NA;NA;NA;0;0;20;disseminated;7;1w;7;1w;7;1w;20-25°C;20-25°C;6;6;medium;ZH501;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;20;3;15;33.3;1;3;6.7;1;15;100;1;1;6.7;1;15;disseminated;14;2w;14;2w;14;2w;20-25°C;20-25°C;6;6;medium;ZH501;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;88.9;8;9;100;8;8;88.9;8;9;NA;NA;NA;25;2;8;disseminated;7;1w;7;1w;7;1w;25°C;20-25°C;7;7;high;ZH501;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;50;8;16;NA;NA;NA;42.3;6;14;NA;NA;NA;13.3;2;15;disseminated;14;2w;14;2w;14;2w;25°C;20-25°C;7;7;high;ZH501;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;15.6;3;19;NA;NA;NA;11.1;2;18;NA;NA;NA;0;0;19;disseminated;7;1w;7;1w;7;1w;20-25°C;20-25°C;6;6;medium;Lunyo;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;22.7;5;22;20;1;5;4.5;1;22;0;0;1;0;0;22;disseminated;14;2w;14;2w;14;2w;20-25°C;20-25°C;6;6;medium;Lunyo;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;90;9;10;100;9;9;90;9;10;NA;NA;NA;37.5;3;8;disseminated;7;1w;7;1w;7;1w;20°C;20-25°C;7;7;high;Lunyo;England;F0;F0/F1
Lumley et al., 2018;Ae. detritus;42.9;3;7;NA;NA;NA;0;0;5;NA;NA;NA;0;0;5;disseminated;14;2w;14;2w;14;2w;20°C;20-25°C;7;7;high;Lunyo;England;F0;F0/F1
Lumley et al., 2018;Ae. caspius;50;3;6;33.3;1;3;16.7;1;6;100;1;1;16.7;1;6;disseminated;10;2w;10;2w;10;2w;25°C;20-25°C;6;6;medium;Lunyo;England;F0;F0/F1
Turell et al., 2013;Ae. vexans;50;1;2;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;>7,6;>7,6;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;53.8;7;13;;;;;;;;;;;;;;14;2w;;;;;26°C;>25°C;>7,6;>7,6;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;38.5;5;13;;;;;;;;;;;;;;21;3w;;;;;26°C;>25°C;>7,6;>7,6;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;20;1;5;;;;;;;;;;;;;;14;2w;;;;;26°C;>25°C;8.3;8.3;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;46.2;6;13;;;;;;;;;;;;;;21;3w;;;;;26°C;>25°C;8.3;8.3;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;;;;NA;NA;NA;15.4;4;26;;;;;;;;;;;;;;26°C;>25°C;>7,6;>7,6;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;;;;71.4;5;7;27.7;5;18;;;;;;;;;;;;;;26°C;>25°C;8.3;8.3;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;;;;;;;;;;50;1;2;;;;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>7,6/8.3;>7,6/8.3;high;ZH501;USA;F0;F0/F1
Turell et al., 2013;Ae. vexans;;;;;;;;;;0;0;1;;;;inoculated;;;;;7->21;1_to_3w;26°C;>25°C;1.5 log10 PFU;1.5 log PFU;;ZH501;USA;F0;F0/F1
Turell et al., 2008/12;Ae. vexans;10;1;10;0;0;1;0;0;10;;;;;;;;14 ->17;3w;14 ->17;3w;;;26°C;>25°C;4,1 -> 4,6;4,1 -> 4,6;low_to_medium;ZH501;USA;F0/F1;F0/F1
Turell et al., 2008/12;Ae. vexans;50;1;2;100;1;1;50;1;2;;;;;;;;>19;3w;>19;3w;;;26°C;>25°C;4,1 -> 4,6;4,1 -> 4,6;low_to_medium;ZH501;USA;F0/F1;F0/F1
Turell et al., 2008/12;Ae. vexans;80;8;10;37.5;3;8;30;3;10;;;;;;;;14 -> 17;3w;14 -> 17;3w;;;26°C;>25°C;8,5 -> 8,6;8,5 -> 8,6;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2008/12;Ae. vexans;93.3;14;15;78.6;11;14;73.3;11;15;;;;;;;;14 -> 17;3w;14 -> 17;3w;;;26°C;>25°C;10,1->10,2;10,1->10,2;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2008/12;Ae. vexans;100;17;17;82.4;14;17;82.4;14;17;;;;;;;;>19;3w;>19;3w;;;26°C;>25°C;10,1->10,2;10,1->10,2;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2008/12;Ae. vexans;;;;;;;;;;100;1;1;25;1;4;disseminated;;;;;7->>19;1_to_3w;26°C;>25°C;8,5->8,6;8,5->8,6;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2008/12;Ae. vexans;;;;;;;;;;33;3;9;23;3;13;disseminated;;;;;7->>19;1_to_3w;26°C;>25°C;10,1->10,2;10,1->10,2;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2010;Ae. vexans;10.5;2;19;0;0;2;0;0;19;;;;0;0;8;;7->21;1_to_3w;7->21;1_to_3w;7->21;1_to_3w;26°C;>25°C;7,3 +/- 0,1 ;7,3 +/- 0,1 ;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2010;Ae. vexans;30;61;204;9.8;6;61;2.9;6;204;;;;2;2;94;;7->21;1_to_3w;7->21;1_to_3w;7->21;1_to_3w;26°C;>25°C;>8,8;>8,8;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2010;Cx. pipiens;52;13;25;15.4;2;13;8;2;25;;;;25;1;4;;7->21;1_to_3w;7->21;1_to_3w;7->21;1_to_3w;26°C;>25°C;>8,8;>8,8;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2010;Ae. vexans;;;;;;;;;;40;2;5;;;;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>8,8;>8,8;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2010;Cx. pipiens;;;;;;;;;;100;1;1;;;;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>8,8;>8,8;high;ZH501;USA;F0/F1;F0/F1
Turell et al., 2010;Ae. vexans;;;;;;;;;;28.6;4;14;;;;inoculated;;;;;7;1w;26°C;>25°C;NA;NA;NA;ZH501;USA;F0/F1;F0/F1
Ndiaye et al., 2016;Ae. vexans;85;34;40;14.7;5;34;12.5;5;40;0;0;5;0;0;40;disseminated;5;1w;5;1w;5;1w;27°C;>25°C;6.7;6.7;medium;SH172805;Senegal;F1;F0/F1
Ndiaye et al., 2016;Ae. vexans;80;24;30;12.5;3;24;10;3;30;33.3;1;3;3.3;1;30;disseminated;10;2w;10;2w;10;2w;27°C;>25°C;6.7;6.7;medium;SH172805;Senegal;F1;F0/F1
Ndiaye et al., 2016;Ae. vexans;71.1;54;76;37;20;54;26.3;20;76;20;4;20;5.3;4;76;disseminated;15;3w;15;3w;15;3w;27°C;>25°C;6.7;6.7;medium;SH172805;Senegal;F1;F0/F1
Ndiaye et al., 2016;Ae. vexans;72.2;13;18;15.4;2;13;11.1;2;18;50;1;2;5.6;1;18;disseminated;20;3w;20;3w;20;3w;27°C;>25°C;6.7;6.7;medium;SH172805;Senegal;F1;F0/F1
